#,Phase,File,What it does,Notes
62,9 Config,[OP] config/rbac/metrics_reader_role.yaml,Metrics reader role,
63,9 Config,[OP] config/rbac/registrybackend_admin_role.yaml,Aggregation role (skim),
64,9 Config,[OP] config/rbac/registrybackend_editor_role.yaml,Aggregation role (skim),
65,9 Config,[OP] config/rbac/registrybackend_viewer_role.yaml,Aggregation role (skim),
66,9 Config,[OP] config/rbac/registryinstance_admin_role.yaml,Aggregation role (skim),
67,9 Config,[OP] config/rbac/registryinstance_editor_role.yaml,Aggregation role (skim),
68,9 Config,[OP] config/rbac/registryinstance_viewer_role.yaml,Aggregation role (skim),
69,9 Config,[OP] config/network-policy/allow-metrics-traffic.yaml,NetworkPolicy for metrics,
70,9 Config,[OP] config/network-policy/kustomization.yaml,NetPol kustomize,
71,9 Config,[OP] config/prometheus/monitor.yaml,ServiceMonitor,
72,9 Config,[OP] config/prometheus/monitor_tls_patch.yaml,ServiceMonitor TLS patch,
73,9 Config,[OP] config/prometheus/kustomization.yaml,Prometheus kustomize,
74,9 Config,[OP] config/samples/registry_v1alpha1_registrybackend.yaml,Sample Backend CR (read this),
75,9 Config,[OP] config/samples/registry_v1alpha1_registryinstance.yaml,Sample Instance CR (read this),
76,9 Config,[OP] config/samples/kustomization.yaml,Samples kustomize,
